id,Stock,Beta,marketcap,trailingPE,forwardPE
0,AAPL,1.289,2647976837120,26.668741,23.94972
1,BAC,1.388,299213062144,12.311688,11.120234
2,AMZN,1.171,1873679220736,62.2,34.7553
3,T,0.694,125889110016,8.9340105,7.6521745
4,GOOG,1.044,1885998940160,26.251722,19.470587
5,MO,0.68,76922118144,9.544857,8.27704
6,DAL,1.431,30795921408,6.6764293,6.3826666
7,AXP,1.23,163945676800,20.329464,15.447083
8,DD,1.222,32016089088,70.33945,18.342106
9,BABA,0.465,180900003840,13.474861,8.241458
10,ABT,0.743,197220564992,34.865032,22.33006
11,UA,1.67,3174229504,8.022471,12.101695
12,AMAT,1.593,171355897856,24.262352,21.6174
13,AMGN,0.578,152372494336,22.782053,13.436673
14,AAL,1.577,10050520064,12.68595,4.623494
15,AIG,1.033,53230170112,15.696787,9.603193
16,ADBE,1.294,226060795904,48.287083,24.78389
17,GOOGL,1.044,1882413989888,26.067356,19.251274
18,ACN,1.195,217923764224,31.45281,26.378233
19,ABBV,0.555,322435383296,66.94853,14.914005
20,MT,1.885,22422622208,25.302752,5.1551404
21,LLY,0.344,739657973760,133.44083,42.768555
22,APA,3.268,10367391744,3.7167568,6.7411766
23,ADP,0.789,102590947328,29.073341,24.974
24,AKAM,0.723,16480403456,30.897728,14.837654
25,ADSK,1.433,55707750400,62.15275,28.586172
26,ADM,0.751,32023615488,9.768274,10.98077
27,WBA,0.718,18704934912,32.863636,6.3421054
28,LUV,1.163,17416652800,38.407894,12.421277
29,PANW,1.208,91802402816,43.98297,46.2
30,AMD,1.651,291697131520,347.0962,32.996346
31,AEP,0.509,45339398144,20.306604,14.446308
32,AVGO,1.273,614222856192,49.271748,23.273222
33,EA,0.767,35469324288,33.418137,17.502638
34,DB,1.188,31414630400,5.2566667,5.776557
35,AEM,1.031,29723416576,15.101266,24.247969
36,APD,0.821,53856862208,23.139446,18.052906
37,NVS,0.461,198071123968,23.592684,12.275381
38,ANF,1.603,6329165312,20.149519,15.472839
39,LULU,1.325,49225023488,32.04676,24.631147
40,ARRY,1.637,2255704064,26.625,10.426574
41,AGNC,1.437,6887281152,197.99998,4.852941
42,A,1.107,42642432000,34.811005,23.932566
43,ORLY,0.862,66645237760,29.329176,24.069935
44,AZO,0.699,54532681728,22.222887,18.847326
45,AN,1.232,6902136320,7.2878523,8.188922
46,AZN,0.173,210052792320,35.657894,15.468036
47,AES,1.056,12744787968,52.735294,8.620193
48,BUD,0.988,120087298048,23.376923,15.348484
49,BDX,0.445,71488806912,56.754585,17.255926
50,AB,1.264,3975506944,14.846155,10.011528
51,ACOR,1.424,16409384,5.061686,-13.761459
52,AFL,0.905,49404530688,11.03599,12.407515
53,ADI,1.173,98085642240,35.31964,26.372
54,ACIW,1.244,3533975552,29.651785,19.535294
55,AMP,1.356,43927740416,18.48398,11.820976
56,AEO,1.577,5084679168,29.988373,13.432292
57,AWK,0.625,23809196032,24.940815,21.553791
58,NVO,0.175,572924624896,47.38007,32.42424
59,ALK,1.624,5420609536,23.491804,7.1057854
60,PAA,1.551,12310805504,12.542857,12.817518
61,ARCC,1.033,12633097216,7.7686563,9.336323
62,AAP,1.162,5067194368,170.18,18.660088
63,NAT,-0.094,818480320,8.3404255,5.6811595
64,FNMA,1.322,1818201344,Infinity,0.65416664
65,AEE,0.443,19711154176,16.885843,15.063137
66,UBS,1.019,98575867904,3.4869463,14.288371
67,ARLP,1.189,2567642880,4.168399,5.1278768
68,ATI,1.212,6538553344,18.209965,17.228956
69,AVB,0.927,26354157568,28.24353,34.74906
70,LH,0.999,18372487168,50.45266,13.60274
71,AVY,0.911,17976178688,35.95008,21.20133
72,ASH,0.921,4877750272,33.46048,17.29485
73,ABM,1.142,2824066560,11.411764,12.325967
74,ATO,0.656,17930350592,18.988817,16.860992
75,AON,0.852,66176008192,26.654951,18.79054
76,ADC,0.52,5761522688,33.6,29.595856
77,AYI,1.487,8281398784,23.027422,17.182226
78,ASML,1.127,382937759744,45.054314,31.881405
79,AMT,0.676,92146491392,62.13522,27.141481
80,ACM,1.23,13341234176,108.97778,19.269156
81,ARW,1.401,6988082688,8.167824,8.031017
82,ARI,1.715,1582960512,38.413795,8.635659
83,AR,3.314,8803472384,37.17949,10.780669
84,AL,1.626,5728718336,10.007782,9.369763
85,AAN,1.326,229691248,83.33333,11.029411
86,BAH,0.532,19259496448,47.729904,25.331059
87,AVT,1.248,4480227328,6.838621,8.332773
88,ALB,1.626,15482743808,9.860779,14.445176
89,AIZ,0.498,9784263680,15.739131,11.105604
90,SAIC,0.702,6734434816,14.683558,14.503894
91,CAR,2.204,4343986688,2.910171,6.7322702
92,APH,1.307,69193269248,37.090034,31.430517
93,AMX,0.289,57992478720,12.780822,13.048951
94,JKHY,0.664,12659304448,33.998043,30.425568
95,AMKR,1.967,7927558656,22.082191,13.956711
96,AEIS,1.557,3813572864,29.47399,17.674177
97,ALKS,0.538,4522747392,8.846405,10.063197
98,AAON,0.916,7187347456,41.3615,31.241135
99,VRSK,0.787,33801324544,45.159004,32.15962
100,APO,1.64,63889707008,13.580918,12.343578
101,ALG,1.026,2750280448,20.081795,16.727472
102,ACTG,0.431,532443040,9.189655,9.189655
103,RBA,0.867,13965768704,73.24039,21.456337
104,MAA,0.788,15771179008,27.936306,30.529003
105,ASX,1.084,23691581440,24.422222,12.348314
106,ARCO,1.26,2342483712,12.930232,11.12
107,ANET,1.1,90657603584,44.069912,33.876167
108,AIR,1.685,2121020416,35.426033,14.391828
109,WAB,1.406,25789581312,32.158936,19.193674
110,RS,0.873,19190419456,14.760601,16.826786
111,PKG,0.788,17008861184,22.379719,18.771513
112,AVA,0.497,2738073856,15.633928,13.573644
113,AMG,1.307,5492027904,9.613663,6.9605155
114,ALSN,1.016,7262578688,10.967568,9.650416
115,ALGN,1.654,24628135936,56.537933,31.230478
116,AGO,1.133,4843858432,7.093496,12.983631
117,ROK,1.429,33384085504,27.772163,21.595997
118,GLPI,0.936,12508005376,16.63177,15.511785
119,AZZ,1.264,1938695040,25.599337,16.484007
120,ARMK,1.529,8535004160,12.853755,16.676924
121,AOS,1.238,13156256768,24.243902,20.66051
122,AMCX,1.211,528400992,2.4755101,2.341699
123,ALE,0.744,3433963776,13.869766,14.23389
124,AALI.JK,0.945,13280361840640,12.578617,10.865287
125,SEE,1.281,5375176704,15.897437,11.376147
126,BBVA,1.463,68615643136,8.457143,7.789474
127,APOG,1.097,1307437952,12.595745,13.333333
128,ANDE,0.681,1953436928,19.513605,14.786081
129,ALEX,1.24,1195591808,29.410713,21.96
130,ALCO,0.868,223136144,4.6550083,62.297874
131,ADUS,0.94,1676929152,26.981722,19.68381
132,WMS,1.514,13368718336,27.383148,25.034883
133,PAG,1.198,10860959744,10.450968,10.982373
134,MDRX,0.62,841301952,8.953488,8.191489
135,KLIC,1.47,2834520832,55.9,18.097122
136,AMH,0.711,15355833344,36.41584,51.08333
137,AME,1.222,42288672768,32.257496,24.419226
138,AJG,0.684,54584483840,56.44244,22.049381
139,AGCO,1.311,9179505664,7.8657284,9.588465
140,WAL,1.456,7072454656,9.814985,6.7639623
141,NOG,1.864,4002640640,3.9561317,6.5263157
142,GIII,2.441,1317555840,7.736,8.171831
143,CVU,1.694,29653414,3.162162,6.0
144,ARE,1.063,22552031232,238.72221,37.69298
145,ANSS,1.155,30209099776,60.586388,32.26394
146,AMNB,0.914,507722208,19.414633,19.899998
147,AIN,1.26,2917053952,26.340845,19.853504
148,AGX,0.462,673592064,20.461538,15.222892
149,ACLS,1.636,3638429184,15.009421,13.182033
150,ABG,1.168,4810878464,8.203897,7.295173
151,NXJ,0.47,498476352,57.52381,-302.0
152,HOLI,0.543,1588410496,13.606383,11.268723
153,GPI,1.421,3999430656,6.8357897,7.3646674
154,AXTA,1.505,7570614272,28.421486,16.070093
155,AWR,0.424,2672070912,21.5,22.091743
156,AWI,1.119,5441867264,24.89379,19.229103
157,ATHM,0.223,3230880768,12.367925,10.702041
158,ASM,1.868,80197544,62.300003,8.900001
159,AROC,1.576,3074204416,29.358208,16.669493
160,ALX,0.763,1108996992,10.87331,16.690237
161,AGI,0.973,5854348800,27.83019,21.376812
162,AER,1.844,17598666752,6.306967,8.047222
163,AE,0.83,74432848,362.5,-90.625
164,FMS,0.935,11314025472,20.956522,7.3587794
165,DOX,0.694,10528285696,19.30983,12.656863
166,CXW,0.828,1757810816,26.457628,19.271605
167,AXS,0.799,5490743808,16.17413,6.1571965
168,ASGN,1.498,4871340032,23.28,16.36875
169,APT,-0.727,71522880,17.828571,5.37931
170,AMBC,1.302,706404096,86.83333,44.657143
171,ALGT,1.574,1375312640,11.957075,7.950317
172,AIT,1.077,7639159808,20.751049,19.598215
173,AEL,0.789,4463867904,27.291264,7.974468
174,AEHR,2.012,357730080,17.464788,22.545454
175,MANH,1.445,15405710336,88.420494,57.26087
176,LAMR,1.516,12187701248,24.62062,21.022888
177,KYN,1.589,1692951296,14.098593,3.4756944
178,AM,2.13,6744764928,19.260275,13.784314
179,ALV,1.728,9809674240,21.091068,10.205932
180,AKR,1.456,1915019904,85.05,40.5
181,WRLD,1.413,881518976,12.762324,10.9750185
182,UHAL,1.066,13095736320,20.845678,15.008889
183,SAH,1.825,1941659648,11.45674,8.869159
184,CACC,1.458,6785719296,25.059063,13.194976
185,ATSG,0.835,903782976,16.780489,13.23077
186,ASB,0.991,3232178688,19.035398,9.037815
187,AROW,0.686,414158560,14.135593,9.441509
188,ARCB,1.494,3349291520,24.696707,11.255924
189,AMRK,0.031,701404608,6.82,5.9708176
190,ALRM,0.95,3619528704,47.366016,32.066372
191,AGRX,1.498,1007644,0.046511628,0.3090909
192,ABEV,0.537,39208054784,13.777778,13.052631
193,RGA,0.883,12683230208,14.3511915,9.06391
194,AVD,0.981,372896544,49.807693,15.235293
195,AUDC,0.811,399602976,46.571426,10.957983
196,ARC,1.194,118461544,14.578947,8.65625
197,AMWD,1.734,1610833280,14.002755,11.146931
198,ALLY,1.38,12337695744,13.575251,7.5446095
199,ACGL,0.57,34586521600,7.95525,10.849765
200,ABR,1.953,2497691136,7.571429,7.1621623
201,ABCB,1.052,3339681024,12.437018,9.975258
202,SAMG,0.872,149862992,16.46875,9.410715
203,MITT,1.992,180249904,3.642857,7.948052
204,HASI,1.843,3227858688,20.0,10.716981
205,GIL,1.62,6262382592,12.254126,11.35474
206,ATR,0.582,9520582656,33.93632,25.19965
207,ASR,0.778,9560399872,15.65995,13.879791
208,ASC,0.395,681996480,6.0590405,6.8991594
209,ARTNA,0.168,380114016,22.221558,17.67143
210,ACNB,0.589,319799648,10.13477,10.681818
211,AAT,1.275,1688774528,26.083334,26.719513
212,LNT,0.534,12907440128,18.129498,15.365854
213,KALU,1.336,1431171840,30.60274,13.559939
214,HOMB,1.1,4941911552,12.6649475,12.535714
215,FAF,1.289,6294255104,29.492754,11.099999
216,CAAS,2.431,107159232,3.446602,5.546875
217,ATLC,1.863,432410496,6.978774,4.9814816
218,ARIS,1.638,817802048,23.983051,11.504065
219,APLE,1.1,3956195584,21.272726,18.199999
220,ANIP,0.8,1456437632,81.32941,13.7162695
221,AMSWA,0.698,380370144,36.935482,30.131578
222,AMSF,0.29,960002944,15.532507,20.148594
223,AGYS,0.649,2305673728,26.006174,66.34646
224,AFG,0.775,11418147840,13.593625,11.459278
225,AVNW,1.72,481063488,30.428572,9.216347
226,APPF,0.805,8849972224,3524.8572,48.47544
227,ALLE,1.14,11794453504,22.01144,17.818785
228,AGM,1.074,2069878272,12.46076,10.711644
229,OMAB,0.977,4289509120,15.064761,15.599605
230,NOA,1.702,595751616,14.467533,6.1717453
231,CRESY,1.227,664988544,8.93,4.0776258
232,ATEN,1.105,1019840576,25.830189,15.735632
